crate_id,name,updated_at,created_at,downloads,repository,version
8677,tesseract-sys,2022-10-01 18:35:01.692582,2017-02-25 19:31:37.836358,28792,https://github.com/ccouzens/tesseract-sys,0.5.13
8708,libappindicator-sys,2022-06-29 01:43:07.318981,2017-02-27 05:58:50.921020,64623,,0.7.3
9055,odbc-sys,2022-02-04 08:21:49.935536,2017-03-19 22:34:05.473613,166539,https://github.com/pacman82/odbc-sys,0.21.2
10418,cbindgen,2022-06-09 20:39:00.456382,2017-04-12 15:57:46.007350,3921748,https://github.com/eqrion/cbindgen/,0.24.3
10606,input-sys,2021-12-11 16:19:06.024144,2017-04-14 20:50:32.974223,30600,https://github.com/Drakulix/input.rs/tree/master/input-sys,1.16.1
10608,input,2021-12-11 16:19:12.511326,2017-04-14 21:00:58.257830,37042,https://github.com/Drakulix/input.rs,0.7.1
13761,pcan-basic-sys,2022-05-15 11:39:05.003073,2017-05-08 20:38:54.770176,2142,https://github.com/tsabelmann/pcan-basic-sys,2.1.0
14946,nvml-wrapper-sys,2022-05-27 01:32:03.259384,2017-05-17 17:04:48.678026,227403,https://github.com/Cldfire/nvml-wrapper,0.6.0
21193,cassandra-cpp-sys,2022-03-30 11:07:21.245004,2017-06-29 11:38:21.169671,255236,https://github.com/Metaswitch/cassandra-sys-rs,1.1.0
21196,cassandra-cpp,2022-03-31 11:08:36.760731,2017-06-29 13:05:39.117846,26501,https://github.com/Metaswitch/cassandra-rs,1.1.0
24949,grpcio-sys,2022-06-28 17:20:57.199135,2017-07-25 03:45:45.693867,600871,https://github.com/tikv/grpc-rs,0.10.3+1.44.0-patched
31361,gbm-sys,2022-08-29 18:48:39.377241,2017-09-11 10:12:47.874189,13272,https://github.com/Drakulix/gbm.rs/tree/master/gbm-sys,0.2.1
33092,pwd,2022-07-25 12:44:09.729296,2017-09-25 18:52:10.651664,137673,https://gitlab.com/pwoolcoc/pwd.git,1.4.0
37926,xen-sys,2022-05-27 21:39:18.699653,2017-11-03 15:29:07.970297,1685,https://github.com/rust-vmm/xen-sys.git,0.0.0-pre2
