"","crate_id","name.x","status","name.y","updated_at","created_at","downloads","repository","version"
"38",10606,"input-sys","check-failed","input-sys",2021-12-11 16:19:06,2017-04-14 20:50:32,30600,"https://github.com/Drakulix/input.rs/tree/master/input-sys","1.16.1"
"39",13761,"pcan-basic-sys","passed","pcan-basic-sys",2022-05-15 11:39:05,2017-05-08 20:38:54,2142,"https://github.com/tsabelmann/pcan-basic-sys","2.1.0"
"40",24949,"grpcio-sys","passed","grpcio-sys",2022-06-28 17:20:57,2017-07-25 03:45:45,600871,"https://github.com/tikv/grpc-rs","0.10.3+1.44.0-patched"
"41",31361,"gbm-sys","check-failed","gbm-sys",2022-08-29 18:48:39,2017-09-11 10:12:47,13272,"https://github.com/Drakulix/gbm.rs/tree/master/gbm-sys","0.2.1"
"42",38157,"openmp-sys","passed","openmp-sys",2022-01-28 01:17:01,2017-11-04 20:06:45,28363,"https://gitlab.com/kornelski/openmp-rs.git","1.2.3"
"43",38425,"unwind-sys","check-failed","unwind-sys",2022-02-26 14:15:55,2017-11-07 06:13:05,112405,"https://github.com/sfackler/rstack","0.1.3"
"44",38485,"libstrophe-sys-bindgen","passed","libstrophe-sys-bindgen",2022-06-27 19:21:49,2017-11-07 14:52:19,6700,"https://github.com/twistedfall/libstrophe-sys-bindgen","5.0.0"
"45",38926,"opencl-sys","passed","opencl-sys",2022-09-17 10:20:24,2017-11-10 23:12:19,1990,"https://github.com/kenba/opencl-sys-rs","0.2.4"
"46",48019,"cfasttext-sys","passed","cfasttext-sys",2022-02-07 02:38:16,2018-01-23 09:49:42,12308,"https://github.com/messense/fasttext-rs","0.7.0"
"47",48806,"vapoursynth-sys","passed","vapoursynth-sys",2022-07-13 03:46:14,2018-01-29 16:55:44,41329,"https://github.com/YaLTeR/vapoursynth-rs","0.4.0"
"48",48821,"faiss-sys","passed","faiss-sys",2022-03-28 17:02:34,2018-01-29 19:52:58,8894,"https://github.com/Enet4/faiss-rs","0.6.0"
"49",49140,"system-configuration-sys","passed","system-configuration-sys",2022-01-04 08:44:09,2018-02-01 12:06:02,301724,"https://github.com/mullvad/system-configuration-rs","0.5.0"
"50",66234,"nitrokey-sys","passed","nitrokey-sys",2022-04-30 08:44:58,2018-05-19 19:26:39,11478,"https://git.sr.ht/~ireas/nitrokey-sys-rs","3.7.0"
"51",67740,"yara-sys","check-failed","yara-sys",2022-09-01 13:11:48,2018-05-30 09:39:48,131316,"https://github.com/Hugal31/yara-rust","0.16.0"
"52",82022,"mnl-sys","passed","mnl-sys",2022-02-11 10:34:33,2018-08-29 21:01:16,91507,"https://github.com/mullvad/mnl-rs","0.2.1"
"53",85545,"nftnl-sys","check-failed","nftnl-sys",2022-02-11 14:20:34,2018-09-19 19:28:42,98509,"https://github.com/mullvad/nftnl-rs","0.6.1"
"54",88840,"newt-sys","passed","newt-sys",2022-05-01 03:01:10,2018-10-09 05:58:03,3467,"https://github.com/rtgill82/newt-sys","0.1.9"
"55",90899,"opencc-rust","check-failed","opencc-rust",2022-07-21 16:57:58,2018-10-16 04:49:45,7303,"https://github.com/magiclen/opencc-rust","1.1.13"
"56",93770,"zbar-rust","check-failed","zbar-rust",2022-07-23 08:09:22,2018-10-31 08:35:48,14766,"https://github.com/magiclen/zbar-rust","0.0.20"
"57",97382,"libthemis-sys","check-failed","libthemis-sys",2021-12-23 10:48:30,2018-11-18 05:15:57,2439,"https://github.com/cossacklabs/themis","0.14.0"
"58",98750,"riot-sys","check-failed","riot-sys",2022-10-01 19:20:27,2018-11-26 13:48:26,8417,"https://github.com/RIOT-OS/rust-riot-sys/","0.7.9"
